id        	scores          	mean	title
u1cQYxRI1H	10,10,10,10     	10.0	Scaling In-the-Wild Training for Diffusion-based Illumination Harmonization and Editing by Imposing Consistent Light Transport
6Mxhg9PtDE	10,8,10,10      	9.5 	Safety Alignment Should be Made More Than Just a Few Tokens Deep
LyJi5ugyJx	8,10,8,10,10    	9.2 	Simplifying, Stabilizing and Scaling Continuous-time Consistency Models
YrycTjllL0	10,10,8,8       	9.0 	BigCodeBench: Benchmarking Code Generation with Diverse Function Calls and Complex Instructions
gc8QAQfXv6	10,10,8,8       	9.0 	Unlocking the Power of Function Vectors for Characterizing and Mitigating Catastrophic Forgetting in Continual Instruction Tuning
DJSZGGZYVi	10,8,8,10,8,10  	9.0 	Representation Alignment for Generation: Training Diffusion Transformers Is Easier Than You Think
nwDRD4AMoN	10,10,8,8       	9.0 	ARTIFICIAL KURAMOTO OSCILLATORY NEURONS
WCRQFlji2q	8,10,8,10       	9.0 	Do I Know This Entity? Knowledge Awareness and Hallucinations in Language Models
Ha6RTeWMd0	10,8,8,10       	9.0 	SAM 2: Segment Anything in Images and Videos
VpWki1v2P8	8,8,10          	8.7 	LoRA Done RITE: Robust Invariant Transformation Equilibration for LoRA Optimization
BPgK5XW1Nb	8,8,10          	8.7 	Spread Preference Annotation: Direct Preference Judgment for Efficient LLM Alignment
xXTkbTBmqq	10,8,8          	8.7 	OLMoE: Open Mixture-of-Experts Language Models
gQlxd3Mtru	8,8,10          	8.7 	Learning stochastic dynamics from snapshots through regularized unbalanced optimal transport
tc90LV0yRL	10,8,8          	8.7 	Cybench: A Framework for Evaluating Cybersecurity Capabilities and Risks of Language Models
n2NidsYDop	8,8,10          	8.7 	Transformers Provably Solve Parity Efficiently with Chain of Thought
FBkpCyujtS	6,10,10,8       	8.5 	Turning Up the Heat: Min-p Sampling for Creative and Coherent LLM Outputs
LbEWwJOufy	8,8,8,10        	8.5 	TANGO: Co-Speech Gesture Video Reenactment with Hierarchical Audio Motion Embedding and Diffusion Interpolation
N8Oj1XhtYZ	8,8,8,10        	8.5 	SANA: Efficient High-Resolution Text-to-Image Synthesis with Linear Diffusion Transformers
E4Fk3YuG56	10,8,6,10       	8.5 	Cut Your Losses in Large-Vocabulary Language Models
tcsZt9ZNKD	10,8,10,10,3    	8.2 	Scaling and evaluating sparse autoencoders
kbjJ9ZOakb	8,8,8,8         	8.0 	Learning and aligning single-neuron invariance manifolds in visual cortex
fMTPkDEhLQ	8,8,8,8         	8.0 	Tight Lower Bounds under Asymmetric High-Order Hölder Smoothness and Uniform Convexity
FSjIrOm1vz	8,8,8,8         	8.0 	Inference Scaling for Long-Context Retrieval Augmented Generation
aWXnKanInf	8,8,8           	8.0 	TopoLM: brain-like spatio-functional organization in a topographic language model
ja4rpheN2n	8,8,8           	8.0 	GeSubNet: Gene Interaction Inference for Disease Subtype Network Generation
FIj9IEPCKr	8,8,8,8         	8.0 	Proxy Denoising for Source-Free Domain Adaptation
jOmk0uS1hl	8,8,8,8         	8.0 	Training on the Test Task Confounds Evaluation and Emergence
f4gF6AIHRy	8,8,8,8         	8.0 	Combatting Dimensional Collapse in LLM Pre-Training Data via Submodular File Selection
1aF2D2CPHi	8,6,10,8        	8.0 	Open-Vocabulary Customization from CLIP via Data-Free Knowledge Distillation
cNmu0hZ4CL	8,8,8           	8.0 	Comparing noisy neural population dynamics using optimal transport distances
Iyrtb9EJBp	8,8,8,8         	8.0 	Measuring and Enhancing Trustworthiness of LLMs in RAG through Grounded Attributions and Learning to Refuse
EytBpUGB1Z	8,8,8,8         	8.0 	Retrieval Head Mechanistically Explains Long-Context Factuality
EzjsoomYEb	8,8,8           	8.0 	Topological Blindspots: Understanding and Extending Topological Deep Learning Through the Lens of Expressivity
OvoCm1gGhN	8,8,8,8         	8.0 	Differential Transformer
fV0t65OBUu	8,8,8,8         	8.0 	Improving Probabilistic Diffusion Models With Optimal Covariance Matching
esYrEndGsr	10,8,6          	8.0 	Influence Functions for Scalable Data Attribution in Diffusion Models
OlzB6LnXcS	8,8,8,8         	8.0 	One Step Diffusion via Shortcut Models
2efNHgYRvM	8,8,8           	8.0 	On the Identification of Temporal Causal Representation with Instantaneous Dependence
pqOjj90Vwp	8,8,8           	8.0 	Towards a Complete Logical Framework for GNN Expressiveness
fAAaT826Vv	8,8,8           	8.0 	BIRD: A Trustworthy Bayesian Inference Framework for Large Language Models
9VGTk2NYjF	8,8,8           	8.0 	The Complexity of Two-Team Polymatrix Games with Independent Adversaries
vzItLaEoDa	8,8,8,8         	8.0 	Open-World Reinforcement Learning over Long Short-Term Imagination
et5l9qPUhm	8,8,8           	8.0 	Strong Model Collapse
fU8H4lzkIm	8,10,6,8,8      	8.0 	PhyMPGN: Physics-encoded Message Passing Graph Network for spatiotemporal PDE systems
51WraMid8K	6,10,6,10       	8.0 	A Probabilistic Perspective on Unlearning and Alignment for Large Language Models
4xWQS2z77v	8,8,8,8,8       	8.0 	Exploring The Loss Landscape Of Regularized Neural Networks Via Convex Duality
je3GZissZc	8,8,8,8         	8.0 	Instant Policy: In-Context Imitation Learning via Graph Diffusion
GRMfXcAAFh	8,8,8,8         	8.0 	Oscillatory State-Space Models
t8FG4cJuL3	8,8,8           	8.0 	Classic but Everlasting: Traditional Gradient-Based Algorithms Converges Fast Even in Time-Varying Multi-Player Games
t7P5BUKcYv	8,8,8           	8.0 	MoE++: Accelerating Mixture-of-Experts Methods with Zero-Computation Experts
TwJrTz9cRS	8,8,8           	8.0 	HiRA: Parameter-Efficient Hadamard High-Rank Adaptation for Large Language Models
cmfyMV45XO	8,8,8,8         	8.0 	Feedback Favors the Generalization of Neural ODEs
zCxGCdzreM	8,8,8,8         	8.0 	Kinetix: Investigating the Training of General Agents through Open-Ended Physics-Based Control Tasks
25kAzqzTrz	8,8,8,8         	8.0 	Towards Understanding Why FixMatch Generalizes Better Than Supervised Learning
mtSSFiqW6y	6,10,8,8        	8.0 	Judge Decoding: Faster Speculative Sampling Requires Going Beyond Model Alignment
7BLXhmWvwF	8,8,8,8         	8.0 	Geometry-aware RL for Manipulation of Varying Shapes and Deformable Objects
UHPnqSTBPO	6,8,8,10        	8.0 	Trust or Escalate: LLM Judges with Provable Guarantees for Human Agreement
zBbZ2vdLzH	8,8,8,8,8       	8.0 	Joint Graph Rewiring and Feature Denoising via Spectral Resonance
z8sxoCYgmd	8,8,8,8         	8.0 	LOKI: A Comprehensive Synthetic Data Detection Benchmark using Large Multimodal Models
8zJRon6k5v	8,8,8,8         	8.0 	Amortized Control of Continuous State Space Feynman-Kac Model for Irregular Time Series
NN6QHwgRrQ	8,8,8           	8.0 	MAP: Multi-Human-Value Alignment Palette
I4e82CIDxv	8,8,8,8         	8.0 	Sparse Feature Circuits: Discovering and Editing Interpretable Causal Graphs in Language Models
OfjIlbelrT	8,8,8,8         	8.0 	FlexPrefill: A Context-Aware Sparse Attention Mechanism for Efficient Long-Sequence Inference
GMwRl2e9Y1	8,8,8,8         	8.0 	Restructuring Vector Quantization with the Rotation Trick
GGlpykXDCa	8,8,8           	8.0 	MMQA: Evaluating LLMs with Multi-Table Multi-Hop Complex Questions
P7KIGdgW8S	8,8,8,8         	8.0 	On the Hölder Stability of Multiset and Graph Neural Networks
o2Igqm95SJ	8,8,8,8         	8.0 	CAX: Cellular Automata Accelerated in JAX
UvTo3tVBk2	8,8,8           	8.0 	Unlocking State-Tracking in Linear RNNs Through Negative Eigenvalues
3b9SKkRAKw	8,8,8,8         	8.0 	LeFusion: Controllable Pathology Synthesis via Lesion-Focused Diffusion Models
dhAL5fy8wS	10,6,8,8,8      	8.0 	Data Selection via Optimal Control for Language Models
